시트 페이지 2자리			
14			
			
			
			
			
			
			
ID	Paragraphs	Options	IconID
EVT_FIND_ITEM	{0} 근처에서 {1}을(를) 발견했습니다. ; 누군가 두고 간 것일까요?	Take:챙긴다.;Leave:둔다.	
EVT_FIND_OLD_ITEM	오늘 {0}에서 {1}을(를) 발견했습니다. ; 생각보다 낡았군요.	Take_Item:가져간다.;Leave_Item:그냥 둔다	
EVT_HEAR_CRY	어두운 {0} 안에서 {1}의 울음소리가 들립니다. ; 들어가 보는 게 좋을까요?	Enter:들어간다.;Pass:지나친다.	
EVT_TALK_NPC	{0}에 있는 {1}에게 말을 걸었습니다. ; 표정이 좋지 않군요.	Ask:이유를 묻는다.;Comfort:위로한다.	
EVT_DECODE_WALL	오래된 {0} 벽면에 {1} 문자가 새겨져 있습니다. ; 해독할 수 있을 것 같습니다.	Read:해독한다.;Ignore:무시한다.	
EVT_SHOP_BROWSE	{0}의 상점에서 {1}을(를) 판매하고 있습니다. ; 꽤 비싸 보이네요.	Buy:구매한다.;Look:구경만 한다.	
EVT_MONSTER_ENCOUNTER	갑자기 {0}에서 {1}이(가) 튀어나왔습니다! ; 전투 준비를 해야 합니다.	Attack:공격한다.;Defend:방어한다.	
EVT_FIND_SHINY	{0}의 바닥에 {1}이(가) 떨어져 있습니다. ; 반짝거리는 게 예쁘군요.	Pick_Up:줍는다.;Pass:무시한다.	
EVT_MEET_HELPER	{0}에서 {1}을(를) 만났습니다. ; 그는 우리에게 도움을 요청합니다.	Help:돕는다.;Refuse:거절한다.	
EVT_INSPECT_PEDESTAL	{0} 기단 위에 {1}이(가) 놓여 있습니다. ; 함정일지도 모릅니다.	Inspect:조사한다.;Touch:만져본다.	
EVT_REST_VIEW	{0} 너머로 {1}의 풍경이 보입니다. ; 잠시 쉬어가는 건 어떨까요?	Rest:쉰다.;Continue:계속 간다.	
EVT_BATTLE_END	{0} 과의 전투를 진행했다.		